rank,classLabel,length,support,antSupport,confidence,lift,hm,chiSquare,weight,antecedent
1,1,3,48,48,1.0000,2.8863,0.2767,95.87,1.0000,1 12 24
2,1,3,45,45,1.0000,2.8863,0.2616,89.55,1.0000,7 12 19
3,1,3,34,34,1.0000,2.8863,0.2042,66.76,1.0000,7 15 24
4,1,3,33,33,1.0000,2.8863,0.1988,64.72,1.0000,10 12 15
5,1,3,32,32,1.0000,2.8863,0.1934,62.69,1.0000,1 10 19
6,1,3,31,31,1.0000,2.8863,0.1879,60.65,1.0000,19 21 24
7,1,3,30,30,1.0000,2.8863,0.1824,58.63,1.0000,1 4 7
8,1,3,30,30,1.0000,2.8863,0.1824,58.63,1.0000,4 12 21
9,1,4,30,30,1.0000,2.8863,0.1824,58.63,1.0000,1 12 18 24
10,1,4,29,29,1.0000,2.8863,0.1768,56.60,1.0000,1 12 17 24
11,1,4,29,29,1.0000,2.8863,0.1768,56.60,1.0000,1 12 22 24
12,1,4,28,28,1.0000,2.8863,0.1713,54.59,1.0000,0 7 12 19
13,1,4,28,28,1.0000,2.8863,0.1713,54.59,1.0000,1 3 12 24
14,1,4,28,28,1.0000,2.8863,0.1713,54.59,1.0000,1 6 12 24
15,1,4,28,28,1.0000,2.8863,0.1713,54.59,1.0000,1 9 12 24
16,1,4,28,28,1.0000,2.8863,0.1713,54.59,1.0000,7 9 12 19
17,1,4,27,27,1.0000,2.8863,0.1656,52.57,1.0000,7 12 17 19
18,1,4,26,26,1.0000,2.8863,0.1600,50.57,1.0000,3 7 12 19
19,1,4,26,26,1.0000,2.8863,0.1600,50.57,1.0000,7 12 19 22
20,1,4,26,26,1.0000,2.8863,0.1600,50.57,1.0000,7 12 19 25
21,1,4,21,21,1.0000,2.8863,0.1313,40.60,1.0000,0 7 15 24
22,1,4,21,21,1.0000,2.8863,0.1313,40.60,1.0000,6 10 12 15
23,1,4,21,21,1.0000,2.8863,0.1313,40.60,1.0000,7 15 22 24
24,1,4,20,20,1.0000,2.8863,0.1254,38.62,1.0000,1 10 14 19
25,1,4,20,20,1.0000,2.8863,0.1254,38.62,1.0000,3 7 15 24
26,1,4,20,20,1.0000,2.8863,0.1254,38.62,1.0000,7 9 15 24
27,1,4,20,20,1.0000,2.8863,0.1254,38.62,1.0000,10 12 15 25
28,1,4,20,20,1.0000,2.8863,0.1254,38.62,1.0000,14 19 21 24
29,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,0 4 12 21
30,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,0 10 12 15
31,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,1 6 10 19
32,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,1 10 19 25
33,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,3 19 21 24
34,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,7 14 15 24
35,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,7 15 18 24
36,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,10 12 15 18
37,1,4,19,19,1.0000,2.8863,0.1195,36.65,1.0000,10 12 15 22
38,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,1 4 7 9
39,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,1 4 7 18
40,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,1 10 17 19
41,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,1 10 19 22
42,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,3 10 12 15
43,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,4 9 12 21
44,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,6 19 21 24
45,1,4,18,18,1.0000,2.8863,0.1136,34.68,1.0000,17 19 21 24
46,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,0 19 21 24
47,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,1 3 10 19
48,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,1 4 7 14
49,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,1 4 7 17
50,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,1 4 7 25
51,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,4 6 12 21
52,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,4 12 17 21
53,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,4 12 18 21
54,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,4 12 21 25
55,1,4,17,17,1.0000,2.8863,0.1076,32.71,1.0000,9 19 21 24
56,1,4,16,16,1.0000,2.8863,0.1016,30.75,1.0000,1 4 7 22
57,1,4,8,8,1.0000,2.8863,0.0521,15.23,1.0000,12 15 19 25
58,1,4,20,21,0.9524,2.7488,0.1250,34.90,0.8596,1 3 9 12
59,1,4,16,17,0.9412,2.7165,0.1013,27.09,0.8281,3 9 12 17
60,1,4,12,13,0.9231,2.6643,0.0769,19.38,0.7784,1 7 9 12
61,1,4,22,24,0.9167,2.6458,0.1362,35.45,0.7612,12 17 22 24
62,1,4,20,22,0.9091,2.6239,0.1246,31.56,0.7411,3 7 12 17
63,1,4,19,21,0.9048,2.6114,0.1188,29.63,0.7298,9 12 19 22
64,1,4,9,10,0.9000,2.5977,0.0583,13.69,0.7174,1 3 12 19
65,1,4,9,10,0.9000,2.5977,0.0583,13.69,0.7174,1 6 12 15
66,1,4,16,18,0.8889,2.5656,0.1009,23.89,0.6889,9 12 17 22
67,1,4,15,17,0.8824,2.5467,0.0949,21.99,0.6724,3 12 17 22
68,1,4,22,25,0.8800,2.5399,0.1358,32.37,0.6665,1 9 12 18
69,1,4,12,14,0.8571,2.4740,0.0767,16.39,0.6106,3 7 12 24
70,1,4,23,27,0.8519,2.4587,0.1411,31.44,0.5980,9 12 17 19
71,1,3,40,47,0.8511,2.4564,0.2312,55.90,0.5961,1 9 12
72,1,4,17,20,0.8500,2.4533,0.1066,22.93,0.5936,6 12 15 25
73,1,4,11,13,0.8462,2.4422,0.0705,14.55,0.5846,0 9 19 22
74,1,4,11,13,0.8462,2.4422,0.0705,14.55,0.5846,6 17 22 24
75,1,4,10,12,0.8333,2.4052,0.0643,12.74,0.5550,1 3 6 9
76,1,4,10,12,0.8333,2.4052,0.0643,12.74,0.5550,9 19 22 25
77,1,4,19,23,0.8261,2.3843,0.1180,24.01,0.5386,1 7 9 18
78,1,4,23,28,0.8214,2.3709,0.1407,28.83,0.5282,12 18 22 24
79,1,4,9,11,0.8182,2.3615,0.0581,10.95,0.5210,4 6 12 24
80,1,4,22,27,0.8148,2.3518,0.1350,27.00,0.5136,0 3 7 12
81,1,3,39,48,0.8125,2.3451,0.2248,48.75,0.5085,7 12 17
82,1,4,12,15,0.8000,2.3090,0.0764,13.87,0.4816,0 3 7 17
83,1,4,12,15,0.8000,2.3090,0.0764,13.87,0.4816,1 3 9 18
84,1,4,12,15,0.8000,2.3090,0.0764,13.87,0.4816,17 18 22 24
85,1,4,18,23,0.7826,2.2588,0.1118,19.85,0.4454,6 17 19 24
86,1,4,17,22,0.7727,2.2303,0.1059,18.12,0.4254,1 3 6 19
87,1,4,20,26,0.7692,2.2202,0.1231,21.16,0.4185,0 3 7 24
88,1,4,19,25,0.7600,2.1936,0.1173,19.44,0.4004,7 18 22 24
89,1,4,15,20,0.7500,2.1647,0.0940,14.72,0.3813,1 7 9 25
90,1,4,15,20,0.7500,2.1647,0.0940,14.72,0.3813,1 7 17 25
91,1,4,9,12,0.7500,2.1647,0.0579,8.75,0.3813,3 7 17 25
92,1,4,17,23,0.7391,2.1333,0.1056,16.09,0.3610,0 9 19 24
93,1,4,17,23,0.7391,2.1333,0.1056,16.09,0.3610,1 19 22 25
94,1,4,16,22,0.7273,2.0991,0.0997,14.46,0.3395,9 15 22 24
95,1,4,8,11,0.7273,2.0991,0.0516,7.14,0.3395,1 6 9 22
96,1,4,8,11,0.7273,2.0991,0.0516,7.14,0.3395,3 9 19 25
97,1,4,15,21,0.7143,2.0616,0.0938,12.86,0.3168,1 7 17 18
98,1,4,15,21,0.7143,2.0616,0.0938,12.86,0.3168,3 9 19 21
99,1,4,17,24,0.7083,2.0445,0.1053,14.28,0.3066,0 7 22 24
100,1,4,14,20,0.7000,2.0204,0.0878,11.30,0.2926,1 6 19 22
101,1,4,16,23,0.6957,2.0079,0.0994,12.72,0.2855,3 7 18 24
102,1,3,11,16,0.6875,1.9843,0.0698,8.37,0.2723,3 9 25
103,1,3,11,16,0.6875,1.9843,0.0698,8.37,0.2723,6 9 22
104,1,4,14,21,0.6667,1.9242,0.0875,9.75,0.2401,0 17 19 24
105,1,4,14,21,0.6667,1.9242,0.0875,9.75,0.2401,10 17 19 22
106,1,3,33,51,0.6471,1.8676,0.1886,21.63,0.2116,3 7 24
107,1,3,33,51,0.6471,1.8676,0.1886,21.63,0.2116,7 22 24
108,1,4,9,14,0.6429,1.8555,0.0575,5.52,0.2057,1 3 17 18
109,0,3,84,84,1.0000,1.5301,0.2593,49.33,1.0000,0 14 25
110,0,3,81,81,1.0000,1.5301,0.2512,47.39,1.0000,6 14 18
111,0,3,73,73,1.0000,1.5301,0.2292,42.28,1.0000,0 9 18
112,0,3,73,73,1.0000,1.5301,0.2292,42.28,1.0000,9 14 17
113,0,3,70,70,1.0000,1.5301,0.2208,40.39,1.0000,6 17 25
114,0,3,69,69,1.0000,1.5301,0.2180,39.76,1.0000,18 22 25
115,0,3,68,68,1.0000,1.5301,0.2152,39.13,1.0000,0 3 6
116,0,3,66,66,1.0000,1.5301,0.2095,37.89,1.0000,3 14 22
117,0,4,45,45,1.0000,1.5301,0.1478,25.17,1.0000,0 14 21 25
118,0,4,44,44,1.0000,1.5301,0.1447,24.58,1.0000,4 6 14 18
119,0,4,43,43,1.0000,1.5301,0.1417,23.99,1.0000,0 14 19 25
120,0,4,43,43,1.0000,1.5301,0.1417,23.99,1.0000,6 14 15 18
121,0,4,42,42,1.0000,1.5301,0.1386,23.41,1.0000,0 7 14 25
122,0,4,41,41,1.0000,1.5301,0.1355,22.82,1.0000,0 4 14 25
123,0,4,41,41,1.0000,1.5301,0.1355,22.82,1.0000,0 10 14 25
124,0,4,40,40,1.0000,1.5301,0.1325,22.24,1.0000,6 10 14 18
125,0,4,40,40,1.0000,1.5301,0.1325,22.24,1.0000,6 14 18 21
126,0,4,39,39,1.0000,1.5301,0.1294,21.65,1.0000,0 14 15 25
127,0,4,39,39,1.0000,1.5301,0.1294,21.65,1.0000,6 14 18 24
128,0,4,37,37,1.0000,1.5301,0.1231,20.49,1.0000,0 9 18 24
129,0,4,37,37,1.0000,1.5301,0.1231,20.49,1.0000,1 6 14 18
130,0,4,37,37,1.0000,1.5301,0.1231,20.49,1.0000,7 9 14 17
131,0,4,37,37,1.0000,1.5301,0.1231,20.49,1.0000,9 14 17 24
132,0,4,36,36,1.0000,1.5301,0.1200,19.92,1.0000,0 3 6 24
133,0,4,36,36,1.0000,1.5301,0.1200,19.92,1.0000,0 7 9 18
134,0,4,36,36,1.0000,1.5301,0.1200,19.92,1.0000,0 9 18 21
135,0,4,36,36,1.0000,1.5301,0.1200,19.92,1.0000,1 9 14 17
136,0,4,36,36,1.0000,1.5301,0.1200,19.92,1.0000,9 14 17 21
137,0,4,35,35,1.0000,1.5301,0.1169,19.34,1.0000,0 4 9 18
138,0,4,35,35,1.0000,1.5301,0.1169,19.34,1.0000,0 9 12 18
139,0,4,35,35,1.0000,1.5301,0.1169,19.34,1.0000,0 9 15 18
140,0,4,35,35,1.0000,1.5301,0.1169,19.34,1.0000,6 10 17 25
141,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,0 3 6 21
142,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,1 3 14 22
143,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,3 14 15 22
144,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,4 9 14 17
145,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,6 12 17 25
146,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,6 17 21 25
147,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,7 18 22 25
148,0,4,34,34,1.0000,1.5301,0.1137,18.76,1.0000,10 18 22 25
149,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,0 3 6 10
150,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,0 3 6 15
151,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,1 6 17 25
152,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,1 18 22 25
153,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,3 10 14 22
154,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,4 6 17 25
155,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,4 18 22 25
156,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,6 17 19 25
157,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,9 14 17 19
158,0,4,33,33,1.0000,1.5301,0.1106,18.19,1.0000,12 18 22 25
159,0,4,32,32,1.0000,1.5301,0.1074,17.62,1.0000,3 7 14 22
160,0,4,32,32,1.0000,1.5301,0.1074,17.62,1.0000,3 14 22 24
161,0,4,32,32,1.0000,1.5301,0.1074,17.62,1.0000,15 18 22 25
162,0,4,31,31,1.0000,1.5301,0.1042,17.05,1.0000,0 3 6 12
163,0,4,31,31,1.0000,1.5301,0.1042,17.05,1.0000,0 3 6 19
164,0,4,30,30,1.0000,1.5301,0.1010,16.48,1.0000,0 14 16 25
165,0,4,30,30,1.0000,1.5301,0.1010,16.48,1.0000,2 6 14 18
166,0,4,29,29,1.0000,1.5301,0.0978,15.91,1.0000,0 5 14 25
167,0,4,29,29,1.0000,1.5301,0.0978,15.91,1.0000,3 14 19 22
168,0,3,28,28,1.0000,1.5301,0.0946,15.34,1.0000,2 14 26
169,0,3,28,28,1.0000,1.5301,0.0946,15.34,1.0000,8 14 20
170,0,4,28,28,1.0000,1.5301,0.0946,15.34,1.0000,6 11 14 18
171,0,4,28,28,1.0000,1.5301,0.0946,15.34,1.0000,6 14 18 26
172,0,4,28,28,1.0000,1.5301,0.0946,15.34,1.0000,9 14 17 20
173,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,0 5 9 18
174,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,0 9 16 18
175,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,5 9 14 17
176,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,6 17 20 25
177,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,11 18 22 25
178,0,4,27,27,1.0000,1.5301,0.0914,14.78,1.0000,16 18 22 25
179,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,0 3 6 13
180,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,0 3 6 20
181,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,0 9 13 18
182,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,2 6 17 25
183,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,5 6 17 25
184,0,4,26,26,1.0000,1.5301,0.0881,14.21,1.0000,8 18 22 25
185,0,4,25,25,1.0000,1.5301,0.0849,13.65,1.0000,0 3 6 11
186,0,4,25,25,1.0000,1.5301,0.0849,13.65,1.0000,3 14 20 22
187,0,4,23,23,1.0000,1.5301,0.0784,12.53,1.0000,2 3 14 22
